Manufacturer;Manufacture Part Number;Quoted Manufacturer;Quoted LCSC Part Number;Quantity;Unit Price;Order Price;Quantity Available;Min\Mult Order Qty;RoHS;Part Match Confidence
Samsung;CL21B104KCFNNNE;Samsung Electro-Mechanics;C28233;300;0,0095;2,85;1845050;50\50;yes;100%
Samsung;CL21A226MPQNNNE;Samsung Electro-Mechanics;C29277;100;0,0188;1,88;1374500;20\20;yes;100%
Samsung;CL21A475KAQNNNE;Samsung Electro-Mechanics;C1779;200;0,012;2,4;5222700;50\50;yes;100%
XFCN;PZ254V-11-02P;XFCN;C492401;400;0,0128;5,12;142900;50\50;yes;100%
ON Semiconductor;NSR0320MW2T1G;onsemi;C48192;100;0,1645;16,45;23045;1\1;yes;100%
Littelfuse;SMBJ5.0A;Littelfuse;C83333;100;0,1218;12,18;11113;1\1;yes;100%
HONGLITRONIC(Hongli Zhihui (HONGLITRONIC));HL-508H203BC;HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)) ;C568943;100;0,0486;4,86;23440;10\10;yes;100%
EKINGLUX;EL504URC;EKINGLUX;C2856646;100;0,0359;3,59;2200;20\20;yes;100%
Shenzhen JDT Fuse;ASMD1206-035;Shenzhen JDT Fuse;C135337;100;0,0511;5,11;3430;10\10;yes;100%
Yuandi;TF-01A;Yuandi;C2889258;100;0,0788;7,88;29765;5\5;yes;100%
Senba Sensing Tech;GL5528;Senba Sensing Tech;C125627;100;0,0368;3,68;46780;10\10;yes;100%
Winsok Semicon;WST6225;Winsok Semicon;C148356;200;0,0581;11,62;8990;5\5;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8J0000T5E;UNI-ROYAL(Uniroyal Elec);C25275;100;0,0019;0,19;1477100;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1002T5E;UNI-ROYAL(Uniroyal Elec);C38522;600;0,003;1,8;375900;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1052T5E;UNI-ROYAL(Uniroyal Elec);C40086;200;0,0022;0,44;10200;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F2200T5E;UNI-ROYAL(Uniroyal Elec);C17557;200;0,0023;0,46;203700;100\100;yes;100%
UNI-ROYAL(Uniroyal Elec);0805W8F1001T5E;UNI-ROYAL(Uniroyal Elec);C17513;200;0,0024;0,48;786100;100\100;yes;100%
G-Switch;GT-TC060B-H025-L1;G-Switch;C778169;300;0,0496;14,88;13610;10\10;yes;100%
None;C9091;Made in China;C9091;100;;24,91;;1\1;yes;100%
Espressif Systems;ESP32-S3-WROOM-1-N8;Espressif Systems;C2913198;100;;420,17;;1\1;yes;100%
Diodes;AP2114HA-3.3TRG1;Diodes Incorporated;C460314;100;;19,49;;1\1;yes;100%
Texas Instruments;HDC1080DMBR;Texas Instruments;C82227;100;3,7797;377,97;2398;1\1;yes;100%
;;;;;Total;938,41;;;;0%
